SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO,CENSO_N_GRUPO,CENSO_MEAN_EDAD,CENSO_MEAN_ESCOLARIDAD,CENSO_PCT_URBANO,CENSO_PCT_LLEGADA_RECIENTE,CENSO_PCT_OCUPADO
M,50 A 54,URUGUAY,2023,6,VALPARAÍSO,21.0,3.0,,3.0,24,2023,URY,5.86910359896118,0.742128785315927,8.355,1411.0,29.564847625797306,11.10347271438696,0.9220411055988661,0.4684620836286322,0.3692416725726435
M,50 A 54,URUGUAY,2023,7,METROPOLITANA DE SANTIAGO,174.0,13.0,1.0,14.0,188,2023,URY,5.86910359896118,0.742128785315927,8.355,15017.0,28.97496171006193,11.01848268499366,0.9868149430645269,0.4931078111473663,0.4231820302606145
M,50 A 54,URUGUAY,2023,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,8.0,1.0,,1.0,9,2023,URY,5.86910359896118,0.742128785315927,8.355,664.0,31.143072289156628,11.095022624434389,0.8704819277108434,0.45481927710843373,0.3870481927710843
M,50 A 54,URUGUAY,2023,9,MAULE,5.0,,,,5,2023,URY,5.86910359896118,0.742128785315927,8.355,517.0,30.220502901353964,11.310077519379846,0.8858800773694391,0.4738878143133462,0.344294003868472
M,50 A 54,URUGUAY,2023,10,ÑUBLE,1.0,1.0,,1.0,2,2023,URY,5.86910359896118,0.742128785315927,8.355,170.0,30.488235294117647,12.248520710059172,0.8647058823529412,0.5058823529411764,0.3176470588235294
M,50 A 54,URUGUAY,2023,11,BIOBÍO,4.0,,,,4,2023,URY,5.86910359896118,0.742128785315927,8.355,725.0,29.48551724137931,11.86344827586207,0.9627586206896551,0.47586206896551725,0.3544827586206897
M,50 A 54,URUGUAY,2023,12,LA ARAUCANÍA,8.0,,,,8,2023,URY,5.86910359896118,0.742128785315927,8.355,337.0,33.910979228486646,12.526785714285714,0.7774480712166172,0.4421364985163205,0.3768545994065282
M,50 A 54,URUGUAY,2023,13,LOS RÍOS,3.0,,,,3,2023,URY,5.86910359896118,0.742128785315927,8.355,153.0,31.58169934640523,12.647058823529411,0.7973856209150327,0.43790849673202614,0.40397350993377484
M,50 A 54,URUGUAY,2023,14,LOS LAGOS,5.0,,,,5,2023,URY,5.86910359896118,0.742128785315927,8.355,454.0,29.147577092511014,11.187637969094922,0.8193832599118943,0.45374449339207046,0.3920704845814978
M,50 A 54,URUGUAY,2023,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,1.0,,,,1,2023,URY,5.86910359896118,0.742128785315927,8.355,46.0,27.76086956521739,10.891304347826088,0.8043478260869565,0.5434782608695652,0.43478260869565216
M,50 A 54,URUGUAY,2023,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,3.0,,,,3,2023,URY,5.86910359896118,0.742128785315927,8.355,284.0,27.764084507042252,10.785211267605634,0.9683098591549296,0.5,0.3908450704225352
M,50 A 54,URUGUAY,2023,17,REGIÓN IGNORADA,,1.0,,1.0,1,2023,URY,5.86910359896118,0.742128785315927,8.355,1426.5,29.055279659839353,11.063174141620422,0.9035320332019542,0.4801120197086752,0.369354270828099
M,50 A 54,VENEZUELA,2018,1,ARICA Y PARINACOTA,5.0,13.0,,13.0,18,2018,VEN,,,5.46,2011.0,26.606663351566386,9.86325211337643,0.9636996519144704,0.2695176529090005,0.426156141223272
M,50 A 54,VENEZUELA,2018,2,TARAPACÁ,7.0,23.0,,23.0,30,2018,VEN,,,5.46,3376.0,27.772808056872037,9.967378410438908,0.9751184834123223,0.3033175355450237,0.44942153663601303
M,50 A 54,VENEZUELA,2018,3,ANTOFAGASTA,12.0,50.0,,50.0,62,2018,VEN,,,5.46,4334.0,28.01545916012921,10.205216989843029,0.9863867097369635,0.265343793262575,0.44841910916224326
M,50 A 54,VENEZUELA,2018,4,ATACAMA,6.0,18.0,1.0,19.0,25,2018,VEN,,,5.46,1902.0,28.366456361724502,10.250658241179568,0.9605678233438486,0.2723449001051525,0.44847528916929547
M,50 A 54,VENEZUELA,2018,5,COQUIMBO,24.0,80.0,1.0,81.0,105,2018,VEN,,,5.46,5354.0,28.997945461337316,10.523836231071229,0.9566679118416137,0.27175943220022414,0.48589048775929733
M,50 A 54,VENEZUELA,2018,6,VALPARAÍSO,45.0,252.0,3.0,255.0,300,2018,VEN,,,5.46,11385.0,29.535617039964865,10.561153609425833,0.9624066754501537,0.25972771190162497,0.4779321259011781
M,50 A 54,VENEZUELA,2018,7,METROPOLITANA DE SANTIAGO,876.0,1917.0,19.0,1936.0,2812,2018,VEN,,,5.46,91449.0,30.92111450097869,11.107433674809561,0.9924548108781944,0.2527200953536944,0.5292212765026366
M,50 A 54,VENEZUELA,2018,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,18.0,101.0,1.0,102.0,120,2018,VEN,,,5.46,5822.0,30.044658193060805,10.646442076314885,0.9220199244245963,0.2511164548265201,0.4706286499484713
M,50 A 54,VENEZUELA,2018,9,MAULE,24.0,135.0,,135.0,159,2018,VEN,,,5.46,5877.0,30.16675174408712,10.630108991825614,0.9492938574102433,0.23872724179002894,0.46075259662863954
M,50 A 54,VENEZUELA,2018,10,ÑUBLE,4.0,31.0,,31.0,35,2018,VEN,,,5.46,1376.0,30.504360465116278,11.089584850691915,0.9411337209302325,0.24127906976744187,0.4585755813953488
M,50 A 54,VENEZUELA,2018,11,BIOBÍO,15.0,111.0,1.0,112.0,127,2018,VEN,,,5.46,7184.0,29.82099109131403,10.740771695222175,0.9785634743875279,0.2657293986636971,0.48447723792287345
M,50 A 54,VENEZUELA,2018,12,LA ARAUCANÍA,13.0,36.0,,36.0,49,2018,VEN,,,5.46,1732.0,29.89203233256351,10.728323699421965,0.9434180138568129,0.2176674364896074,0.44714038128249567
M,50 A 54,VENEZUELA,2018,13,LOS RÍOS,3.0,18.0,,18.0,21,2018,VEN,,,5.46,530.0,31.230188679245284,11.11531190926276,0.9226415094339623,0.3113207547169811,0.5113207547169811
M,50 A 54,VENEZUELA,2018,14,LOS LAGOS,15.0,74.0,,74.0,89,2018,VEN,,,5.46,4908.0,29.44152404237979,10.818441452468381,0.9352078239608802,0.26344743276283616,0.513563124617581
M,50 A 54,VENEZUELA,2018,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,,9.0,,9.0,9,2018,VEN,,,5.46,213.0,29.934272300469484,10.788732394366198,0.9812206572769953,0.2347417840375587,0.4835680751173709
M,50 A 54,VENEZUELA,2018,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,3.0,19.0,,19.0,22,2018,VEN,,,5.46,703.0,30.53058321479374,11.101428571428572,0.9928876244665719,0.2802275960170697,0.5078236130867709
M,50 A 54,VENEZUELA,2018,17,REGIÓN IGNORADA,,1832.0,4.0,1836.0,1836,2018,VEN,,,5.46,9259.75,29.48633912472519,10.633629681946688,0.9602305420453369,0.26243676814681477,0.4752103738169043
M,50 A 54,VENEZUELA,2019,1,ARICA Y PARINACOTA,6.0,28.0,,28.0,34,2019,VEN,,,5.876,2011.0,26.606663351566386,9.86325211337643,0.9636996519144704,0.2695176529090005,0.426156141223272
M,50 A 54,VENEZUELA,2019,2,TARAPACÁ,6.0,73.0,2.0,75.0,81,2019,VEN,,,5.876,3376.0,27.772808056872037,9.967378410438908,0.9751184834123223,0.3033175355450237,0.44942153663601303
M,50 A 54,VENEZUELA,2019,3,ANTOFAGASTA,19.0,112.0,1.0,113.0,132,2019,VEN,,,5.876,4334.0,28.01545916012921,10.205216989843029,0.9863867097369635,0.265343793262575,0.44841910916224326
M,50 A 54,VENEZUELA,2019,4,ATACAMA,8.0,49.0,2.0,51.0,59,2019,VEN,,,5.876,1902.0,28.366456361724502,10.250658241179568,0.9605678233438486,0.2723449001051525,0.44847528916929547
M,50 A 54,VENEZUELA,2019,5,COQUIMBO,26.0,170.0,5.0,175.0,201,2019,VEN,,,5.876,5354.0,28.997945461337316,10.523836231071229,0.9566679118416137,0.27175943220022414,0.48589048775929733
M,50 A 54,VENEZUELA,2019,6,VALPARAÍSO,46.0,530.0,9.0,539.0,585,2019,VEN,,,5.876,11385.0,29.535617039964865,10.561153609425833,0.9624066754501537,0.25972771190162497,0.4779321259011781
M,50 A 54,VENEZUELA,2019,7,METROPOLITANA DE SANTIAGO,911.0,4040.0,48.0,4088.0,4999,2019,VEN,,,5.876,91449.0,30.92111450097869,11.107433674809561,0.9924548108781944,0.2527200953536944,0.5292212765026366
M,50 A 54,VENEZUELA,2019,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,27.0,239.0,2.0,241.0,268,2019,VEN,,,5.876,5822.0,30.044658193060805,10.646442076314885,0.9220199244245963,0.2511164548265201,0.4706286499484713
