SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO
H,00 A 04,ARGENTINA,2022,9,MAULE,,1.0,1.0,2.0,2,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,11,BIOBÍO,,4.0,,4.0,4,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,12,LA ARAUCANÍA,,,1.0,1.0,1,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,13,LOS RÍOS,,3.0,,3.0,3,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,14,LOS LAGOS,,3.0,1.0,4.0,4,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,,1.0,,1.0,1,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,,2.0,1.0,3.0,3,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,17,REGIÓN IGNORADA,,22.0,2.0,24.0,24,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2023,2,TARAPACÁ,,1.0,,1.0,1,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,3,ANTOFAGASTA,,3.0,1.0,4.0,4,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,4,ATACAMA,,2.0,,2.0,2,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,5,COQUIMBO,,3.0,1.0,4.0,4,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,6,VALPARAÍSO,,12.0,3.0,15.0,15,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,7,METROPOLITANA DE SANTIAGO,,39.0,2.0,41.0,41,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,,6.0,,6.0,6,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,9,MAULE,,3.0,,3.0,3,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,10,ÑUBLE,,1.0,,1.0,1,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,11,BIOBÍO,,4.0,,4.0,4,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,12,LA ARAUCANÍA,,2.0,,2.0,2,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,13,LOS RÍOS,,1.0,,1.0,1,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,14,LOS LAGOS,,1.0,,1.0,1,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,,1.0,,1.0,1,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,ARGENTINA,2023,17,REGIÓN IGNORADA,,17.0,2.0,19.0,19,2023,ARG,133.488935594175,-1.61100162090189,6.139
H,00 A 04,BOLIVIA,2018,1,ARICA Y PARINACOTA,81.0,69.0,,69.0,150,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,2,TARAPACÁ,276.0,317.0,11.0,328.0,604,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,3,ANTOFAGASTA,325.0,256.0,14.0,270.0,595,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,4,ATACAMA,31.0,39.0,,39.0,70,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,5,COQUIMBO,9.0,17.0,,17.0,26,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,6,VALPARAÍSO,16.0,31.0,,31.0,47,2018,BOL,2.27205987230154,4.22362365271844,3.519
