SEXO,EDAD,EDAD_NUMERICA,PAIS,PAIS_CODIGO,PAIS_ISO,ANIO,CODREGEO,REGION,CENSO_AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION
1,00 A 04,2,ARGENTINA,1,AR,2022,9,MAULE,0.0,1.0,1.0,2.0,2
1,00 A 04,2,ARGENTINA,1,AR,2022,11,BIOBÍO,0.0,4.0,0.0,4.0,4
1,00 A 04,2,ARGENTINA,1,AR,2022,12,LA ARAUCANÍA,0.0,0.0,1.0,1.0,1
1,00 A 04,2,ARGENTINA,1,AR,2022,13,LOS RÍOS,0.0,3.0,0.0,3.0,3
1,00 A 04,2,ARGENTINA,1,AR,2022,14,LOS LAGOS,0.0,3.0,1.0,4.0,4
1,00 A 04,2,ARGENTINA,1,AR,2022,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ARGENTINA,1,AR,2022,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,0.0,2.0,1.0,3.0,3
1,00 A 04,2,ARGENTINA,1,AR,2022,17,REGIÓN IGNORADA,0.0,22.0,2.0,24.0,24
1,00 A 04,2,ARGENTINA,1,AR,2023,2,TARAPACÁ,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ARGENTINA,1,AR,2023,3,ANTOFAGASTA,0.0,3.0,1.0,4.0,4
1,00 A 04,2,ARGENTINA,1,AR,2023,4,ATACAMA,0.0,2.0,0.0,2.0,2
1,00 A 04,2,ARGENTINA,1,AR,2023,5,COQUIMBO,0.0,3.0,1.0,4.0,4
1,00 A 04,2,ARGENTINA,1,AR,2023,6,VALPARAÍSO,0.0,12.0,3.0,15.0,15
1,00 A 04,2,ARGENTINA,1,AR,2023,7,METROPOLITANA DE SANTIAGO,0.0,39.0,2.0,41.0,41
1,00 A 04,2,ARGENTINA,1,AR,2023,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,0.0,6.0,0.0,6.0,6
1,00 A 04,2,ARGENTINA,1,AR,2023,9,MAULE,0.0,3.0,0.0,3.0,3
1,00 A 04,2,ARGENTINA,1,AR,2023,10,ÑUBLE,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ARGENTINA,1,AR,2023,11,BIOBÍO,0.0,4.0,0.0,4.0,4
1,00 A 04,2,ARGENTINA,1,AR,2023,12,LA ARAUCANÍA,0.0,2.0,0.0,2.0,2
1,00 A 04,2,ARGENTINA,1,AR,2023,13,LOS RÍOS,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ARGENTINA,1,AR,2023,14,LOS LAGOS,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ARGENTINA,1,AR,2023,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ARGENTINA,1,AR,2023,17,REGIÓN IGNORADA,0.0,17.0,2.0,19.0,19
1,00 A 04,2,BOLIVIA,2,BO,2018,1,ARICA Y PARINACOTA,81.0,69.0,0.0,69.0,150
1,00 A 04,2,BOLIVIA,2,BO,2018,2,TARAPACÁ,276.0,317.0,11.0,328.0,604
1,00 A 04,2,BOLIVIA,2,BO,2018,3,ANTOFAGASTA,325.0,256.0,14.0,270.0,595
1,00 A 04,2,BOLIVIA,2,BO,2018,4,ATACAMA,31.0,39.0,0.0,39.0,70
