SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO,region_norm,pais_norm,sexo_norm,edad_norm,anio,pais_norm_merge,ACOGIDAS_TOTAL,RESUELTAS_ARCHIVA,RESUELTAS_OTORGA,RESUELTAS_RECHAZA_RT,RESUELTAS_RECHAZA_ABANDONO,RESUELTAS_TOTAL,TASA_OTORGA,TASA_RECHAZO,TASA_ARCHIVO,ACOGIDAS_LAG1,RESUELTAS_LAG1,TASA_REGULARIZACION,PROP_ESTIMACION_GRUPO,ACOGIDAS_PER_CAPITA,RESUELTAS_PER_CAPITA
M,15 A 19,ALEMANIA,2020,3,ANTOFAGASTA,1.0,,,,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,m,15 a 19,2020,alemania,,,,,,,,,,,,,0.013333333333333334,,
M,15 A 19,ALEMANIA,2021,3,ANTOFAGASTA,1.0,,,,1,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,m,15 a 19,2021,alemania,,,,,,,,,,,,,0.012658227848101266,,
M,15 A 19,ALEMANIA,2022,3,ANTOFAGASTA,2.0,,,,2,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,m,15 a 19,2022,alemania,,,,,,,,,,,,,0.02564102564102564,,
M,15 A 19,ALEMANIA,2023,3,ANTOFAGASTA,2.0,,,,2,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,m,15 a 19,2023,alemania,,,,,,,,,,,,,0.025,,
M,20 A 24,ALEMANIA,2020,3,ANTOFAGASTA,2.0,,,,2,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,m,20 a 24,2020,alemania,,,,,,,,,,,,,0.02666666666666667,,
M,20 A 24,ALEMANIA,2021,3,ANTOFAGASTA,2.0,1.0,,1.0,3,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,m,20 a 24,2021,alemania,,,,,,,,,,,,0.3333333332222222,0.0379746835443038,,
M,20 A 24,ALEMANIA,2022,3,ANTOFAGASTA,2.0,1.0,,1.0,3,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,m,20 a 24,2022,alemania,,,,,,,,,,,,0.3333333332222222,0.038461538461538464,,
M,20 A 24,ALEMANIA,2023,3,ANTOFAGASTA,3.0,,,,3,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,m,20 a 24,2023,alemania,,,,,,,,,,,,,0.0375,,
M,25 A 29,ALEMANIA,2018,3,ANTOFAGASTA,7.0,1.0,,1.0,8,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,m,25 a 29,2018,alemania,,,,,,,,,,,,0.124999999984375,0.11764705882352941,,
M,25 A 29,ALEMANIA,2019,3,ANTOFAGASTA,5.0,,,,5,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,m,25 a 29,2019,alemania,,,,,,,,,,,,,0.07246376811594203,,
