CODREGEO,REGION,ANIO,estimation,rate,rate_lag1,pct_women_lag1,mean_age_lag1,pct_irregular_lag1,pct_venezuela_lag1,pct_peru_lag1,pct_colombia_lag1,pct_haiti_lag1,pct_bolivia_lag1,sol_total_lag1,sol_otorgadas_lag1,sol_pct_otorga_lag1,sol_share_lag1,macro_inflacion_origen_lag1,macro_crecimiento_pib_origen_lag1,macro_desempleo_origen_lag1,censo_n_migrantes,censo_mean_edad,censo_mean_escolaridad,censo_pct_mujer,censo_pct_urbano,censo_pct_llegada_reciente,censo_pct_ocupado,censo_pct_venezuela
7,METROPOLITANA DE SANTIAGO,2023,1089049,0.6027234791463738,0.6111122934534816,0.4955013919873154,34.538581464098186,0.0479124287361902,0.3502850552390551,0.1920286960387257,0.1084715590053077,0.1191844326857878,0.030170992172504,63317.0,61823.0,0.976404441145348,0.6615552535553392,10.907993038066271,1.989947664410961,7.013513632376327,305004,28.731019921050216,10.411036742089768,0.5201243262383444,0.9868591887319512,0.3293694508924473,0.5588299949144478,0.5772580031737289
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2021,46279,0.0302872442004367,0.0296064091519189,0.4384392602221158,32.4808091404593,0.0298282821372374,0.342751590613669,0.0454265581172607,0.080522679072313,0.2860596109552804,0.0587443843926022,3777.0,1863.0,0.4932486100079428,0.025227835931046622,9.256750717518772,-3.9058515517843455,10.739082261848896,20847,27.75387345901089,9.758066064912615,0.500407732527462,0.8662157624598263,0.3247469659903103,0.5388675623800384,0.5584016884923491
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2022,50130,0.0313786710165737,0.0302872442004367,0.4434840856544005,32.94582622036865,0.0406663929644115,0.345232178741978,0.0457226819939929,0.0823267572765185,0.2755245359666371,0.0684543745543335,898.0,623.0,0.6937639198218263,0.029428436466698158,7.8627415898453386,2.655857876477996,9.699576485236571,20847,27.75387345901089,9.758066064912615,0.500407732527462,0.8662157624598263,0.3247469659903103,0.5388675623800384,0.5584016884923491
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2023,60238,0.0333381298149296,0.0313786710165737,0.4416317574306802,32.36470095359694,0.086754438460004,0.342130460801915,0.0458208657490524,0.0830041891083183,0.2577897466586874,0.0903052064631956,3304.0,3190.0,0.965496368038741,0.034135536270344886,14.314005109219647,1.2991402556413945,8.197993655976195,20847,27.75387345901089,9.758066064912615,0.500407732527462,0.8662157624598263,0.3247469659903103,0.5388675623800384,0.5584016884923491
9,MAULE,2021,42529,0.0278330605371848,0.0278455937755716,0.4345707150304294,32.964864209505336,0.032975292776956,0.3708508110467231,0.0229614722498363,0.0635259316732536,0.3432097568072157,0.0165603860048978,4126.0,2434.0,0.5899175957343674,0.03296003899955313,10.33828571643233,-3.2873424205782804,11.09261849205556,17081,28.261928458521165,9.975967174677608,0.504010303846379,0.9065043030267548,0.3096422926058193,0.5206771321462043,0.6711550845969205
9,MAULE,2022,44892,0.0280999660737289,0.0278330605371848,0.4383832208610595,33.48225749559083,0.0549742528627524,0.3803052035081944,0.0240071480636742,0.0656728350067013,0.3288344423804933,0.0180112393895929,1004.0,761.0,0.7579681274900398,0.03594709494567785,8.556509668557993,1.720589188919246,10.249369107662464,17081,28.261928458521165,9.975967174677608,0.504010303846379,0.9065043030267548,0.3096422926058193,0.5206771321462043,0.6711550845969205
9,MAULE,2023,52954,0.0293068715133268,0.0280999660737289,0.4403679942974249,33.092251826768845,0.0973224627996079,0.3966185511895215,0.0246591820368885,0.0666933974873028,0.3104784816893878,0.0213401051412278,3305.0,3232.0,0.9779122541603631,0.03458496966324598,15.575504225246544,0.749335815789167,8.854441289935087,17081,28.261928458521165,9.975967174677608,0.504010303846379,0.9065043030267548,0.3096422926058193,0.5206771321462043,0.6711550845969205
10,ÑUBLE,2021,11830,0.0077421313963388,0.007493592738527,0.4421119019731507,33.35354536444725,0.0236057302459681,0.3529146769979277,0.0363996756464546,0.0662221821785746,0.2782232633570592,0.0167582665104964,902.0,443.0,0.4911308203991131,0.005998889596056712,9.78428120445769,-3.6658695112050452,10.673314436387606,3976,29.08651911468813,10.298612862547287,0.5093058350100603,0.8988933601609658,0.2917505030181087,0.5003790750568613,0.670271629778672
10,ÑUBLE,2022,12849,0.0080427796507471,0.0077421313963388,0.4491124260355029,33.854945054945055,0.0327134404057481,0.3830938292476754,0.0422654268808114,0.0645815722738799,0.2519864750633981,0.0164835164835164,193.0,156.0,0.8082901554404145,0.007368918280585735,8.268560918225907,2.5178456663202806,9.586050910376523,3976,29.08651911468813,10.298612862547287,0.5093058350100603,0.8988933601609658,0.2917505030181087,0.5003790750568613,0.670271629778672
10,ÑUBLE,2023,14314,0.0079219427964225,0.0080427796507471,0.4512413417386567,33.61021170610212,0.0582146470542454,0.4142734843178457,0.0437388123589384,0.0670869328352401,0.2274885205074324,0.0186784963810413,770.0,757.0,0.9831168831168832,0.00810050186728874,14.12468469697591,1.1233858231011609,8.07239771335239,3976,29.08651911468813,10.298612862547287,0.5093058350100603,0.8988933601609658,0.2917505030181087,0.5003790750568613,0.670271629778672
